#{"t_start": 1674727166.545253, "env_id": null}
r,l,t
18.0,2764,3289.579933
19.0,2704,3294.972471
21.0,2678,3296.453716
18.0,2993,3296.841377
21.0,2576,3299.664145
21.0,2695,3300.09004
21.0,2576,3300.593482
21.0,2577,3316.448931
20.0,2506,3321.729543
19.0,2747,3330.196955
19.0,2687,3331.07332
15.0,2676,3331.346969
19.0,2554,3332.544597
21.0,2576,3333.172269
19.0,2670,3335.022371
19.0,2687,3350.964795
21.0,2577,3354.777751
21.0,2577,3364.230175
21.0,2576,3364.528935
17.0,2816,3366.705651
19.0,2732,3367.873772
19.0,2677,3367.97678
21.0,2577,3368.414901
21.0,2577,3384.345266
21.0,2577,3388.218282
21.0,2679,3399.259148
20.0,2673,3399.474026
19.0,2647,3401.258862
19.0,2631,3402.202894
19.0,2654,3402.536262
20.0,2611,3402.563216
18.0,2716,3419.300218
18.0,2741,3423.641483
17.0,2702,3433.739874
15.0,2757,3434.109582
21.0,2577,3434.872385
19.0,2669,3435.181125
20.0,2716,3436.919067
18.0,2738,3437.114052
21.0,2577,3451.836859
21.0,2577,3456.194393
21.0,2577,3466.178818
21.0,2577,3466.913277
20.0,2608,3467.869081
18.0,2766,3469.471189
20.0,2608,3470.22522
17.0,2872,3472.931564
20.0,2651,3485.42425
19.0,2648,3489.853293
20.0,2651,3499.940814
17.0,2790,3502.002728
18.0,2601,3503.131151
16.0,2871,3504.575668
18.0,2844,3505.941401
19.0,2703,3507.686272
20.0,2613,3518.441498
21.0,2576,3522.364178
21.0,2496,3531.336951
19.0,2513,3533.96925
21.0,2577,3537.183677
21.0,2496,3537.364897
20.0,2776,3538.490452
18.0,2584,3540.381768
20.0,2651,3552.269855
21.0,2576,3555.167142
20.0,2642,3565.144037
21.0,2577,3566.742249
20.0,2651,3571.016531
17.0,2720,3571.842747
20.0,2714,3572.882234
